level3a	beta0	beta1
Alder	-2.5932	2.5349
Ash	-1.8384	2.3524
Atlantic white cedar	-1.9615	2.1063
Bald cypress	-2.6327	2.4757
Basswood	-2.4108	2.5011
Beech	-2.0705	2.441
Birch	-1.8096	2.348
Black gum	-2.2118	2.4133
Black gum/sweet gum	-2.2118	2.4133
Buckeye	-2.4108	2.5011
Cedar/juniper	-1.9615	2.1063
Cherry	-2.2118	2.4133
Chestnut	-2.0705	2.441
Dogwood	-2.2118	2.4133
Elm	-2.2118	2.4133
Fir	-2.3123	2.3482
Hackberry	-2.2118	2.4133
Hemlock	-2.348	2.3876
Hickory	-2.5095	2.6175
Ironwood	-2.2652	2.5349
Locust	-2.5095	2.5437
Maple	-1.8011	2.3852
Mulberry	-2.0705	2.441
Oak	-2.0705	2.441
Other hardwood	-2.48	2.4835
Pine	-2.6177	2.4638
Poplar	-2.6863	2.4561
Poplar/tulip poplar	-2.4177	2.5011
Spruce	-2.1364	2.3233
Sweet gum	-2.2118	2.4133
Sycamore	-2.2118	2.4133
Tamarack	-2.3012	2.3853
Tulip poplar	-2.4177	2.5011
Walnut	-2.5095	2.6175
Willow	-2.2094	2.3867
